id,Code_BuildingVariant,Remark_BuildingVariant_1,Remark_BuildingVariant_2,Date_Entry,Date_Change,Code_StatusDataset,Code_Country,Number_BuildingVariant,Code_TypeVariant,Code_Building,Description_BuildingVariant,Description_BuildingVariant_National,Code_BuildingType,Code_DataType_Building,Code_BuildingSizeClass,Code_ConstructionYearClass,Year1_Building,Year2_Building,Code_UtilisationType,V_C,A_C_National,A_C_ExtDim,A_C_IntDim,A_C_Use,A_C_Living,A_C_Ref_Input,n_Apartment,n_Storey,Code_RoofType_val_data,Code_RoofType,Code_AtticCond_val_data,Code_AtticCond,Code_CellarCond_val_data,Code_CellarCond,Code_AttachedNeighbours_val_data,Code_AttachedNeighbours,A_SolarPotential_1,Code_Orientation_SolarPotential_1,Inclination_SolarPotential_1,A_SolarPotential_2,Code_Orientation_SolarPotential_2,Inclination_SolarPotential_2,Code_ComplexFootprint_val_data,Code_ComplexFootprint,Code_ComplexRoof_val_data,Code_ComplexRoof,h_Ceiling,A_Roof_1,A_Roof_2,A_Wall_1,A_Wall_2,A_Wall_3,A_Floor_1,A_Floor_2,A_Window_1,A_Window_2,A_Door_1,A_Window_Horizontal,A_Window_East,A_Window_South,A_Window_West,A_Window_North,Code_TypeIntake_EnvelopeArea_val_data,Code_TypeIntake_EnvelopeArea,f_Corr_CeilingHeight,f_PlausiCrit_EnvSum_LowerLimit,f_PlausiCrit_EnvSum_UpperLimit,f_PlausiCrit_FloorArea_LowerLimit,f_PlausiCrit_FloorArea_UpperLimit,f_PlausiCrit_WindowArea_LowerLimit,f_PlausiCrit_WindowArea_UpperLimit,Code_ThermalBridging_Original,Code_ThermalBridging_Refurbished,Code_Infiltration_Actual,Code_Roof_1,Code_Roof_2,Code_Wall_1,Code_Wall_2,Code_Wall_3,Code_Floor_1,Code_Floor_2,Code_Window_1,Code_Window_2,Code_Door_1,Code_ConstructionBorder_Roof_1,Code_ConstructionBorder_Roof_2,Code_ConstructionBorder_Wall_1,Code_ConstructionBorder_Wall_2,Code_ConstructionBorder_Wall_3,Code_ConstructionBorder_Floor_1,Code_ConstructionBorder_Floor_2,delta_U_ThermalBridging_Original,delta_U_ThermalBridging_Refurbished,n_air_infiltration,U_Roof_1,U_Roof_2,U_Wall_1,U_Wall_2,U_Wall_3,U_Floor_1,U_Floor_2,U_Window_1,U_Window_2,U_Door_1,g_gl_n_Window_1,g_gl_n_Window_2,d_Insulation_Roof_1,d_Insulation_Roof_2,d_Insulation_Wall_1,d_Insulation_Wall_2,d_Insulation_Wall_3,d_Insulation_Floor_1,d_Insulation_Floor_2,R_Add_UnheatedSpace_Roof_1,R_Add_UnheatedSpace_Roof_2,R_Add_UnheatedSpace_Wall_1,R_Add_UnheatedSpace_Wall_2,R_Add_UnheatedSpace_Wall_3,R_Add_UnheatedSpace_Floor_1,R_Add_UnheatedSpace_Floor_2,b_Transmission_Roof_1,b_Transmission_Roof_2,b_Transmission_Wall_1,b_Transmission_Wall_2,b_Transmission_Wall_3,b_Transmission_Floor_1,b_Transmission_Floor_2,Code_Measure_Roof_1,Code_Measure_Roof_2,Code_Measure_Wall_1,Code_Measure_Wall_2,Code_Measure_Wall_3,Code_Measure_Floor_1,Code_Measure_Floor_2,Code_Measure_Window_1,Code_Measure_Window_2,Code_Measure_Door_1,R_PredefinedMeasure_Roof_1,R_PredefinedMeasure_Roof_2,R_PredefinedMeasure_Wall_1,R_PredefinedMeasure_Wall_2,R_PredefinedMeasure_Wall_3,R_PredefinedMeasure_Floor_1,R_PredefinedMeasure_Floor_2,R_PredefinedMeasure_Window_1,R_PredefinedMeasure_Window_2,R_PredefinedMeasure_Door_1,g_gl_n_PredefinedMeasure_Window_1,g_gl_n_PredefinedMeasure_Window_2,d_Insulation_PredefinedMeasure_Roof_1,d_Insulation_PredefinedMeasure_Roof_2,d_Insulation_PredefinedMeasure_Wall_1,d_Insulation_PredefinedMeasure_Wall_2,d_Insulation_PredefinedMeasure_Wall_3,d_Insulation_PredefinedMeasure_Floor_1,d_Insulation_PredefinedMeasure_Floor_2,d_Insulation_Input_Measure_Roof_1,d_Insulation_Input_Measure_Roof_2,d_Insulation_Input_Measure_Wall_1,d_Insulation_Input_Measure_Wall_2,d_Insulation_Input_Measure_Wall_3,d_Insulation_Input_Measure_Floor_1,d_Insulation_Input_Measure_Floor_2,Code_MeasureType_Roof_1_val_data,Code_MeasureType_Roof_1,Code_MeasureType_Roof_2_val_data,Code_MeasureType_Roof_2,Code_MeasureType_Wall_1_val_data,Code_MeasureType_Wall_1,Code_MeasureType_Wall_2_val_data,Code_MeasureType_Wall_2,Code_MeasureType_Wall_3_val_data,Code_MeasureType_Wall_3,Code_MeasureType_Floor_1_val_data,Code_MeasureType_Floor_1,Code_MeasureType_Floor_2_val_data,Code_MeasureType_Floor_2,Code_MeasureType_Window_1_val_data,Code_MeasureType_Window_1,Code_MeasureType_Window_2_val_data,Code_MeasureType_Window_2,Code_MeasureType_Door_1_val_data,Code_MeasureType_Door_1,f_Measure_Roof_1,f_Measure_Roof_2,f_Measure_Wall_1,f_Measure_Wall_2,f_Measure_Wall_3,f_Measure_Floor_1,f_Measure_Floor_2,f_Measure_Window_1,f_Measure_Window_2,f_Measure_Door_1,Code_ClimateRegion,Name_ClimateRegion,HeatingDays,Theta_e_Base,Theta_e,I_Sol_Hor,I_Sol_East,I_Sol_South,I_Sol_West,I_Sol_North,Code_BoundaryCond,theta_i,F_red_htr1,F_red_htr4,n_air_use,h_room,phi_int,q_w_nd,F_sh_hor,F_sh_vert,F_f,F_w,c_m
55,DK.N.SFH.09.Gen.ReEx.001.001,0,0,2011-01-21,,Typology,DK,1,Variation,DK.N.SFH.09.Gen.ReEx.001,0,0,DK.N.SFH.09.Gen,ReEx,SFH,DK.09,2007,2010,SingleFamily,478.8,171,171,0,0,0,0,1,1,,TR,,-,,-,,B_Alone,0,0,0,0,0,0,,0,,0,0,171,0,150,0,0,149,0,24.7,0,0,0,0.4,15,4.2,5.1,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Low,0,Low,DK.Ceiling.ReEx.01.08,0,DK.Wall.ReEx.01.34,0,0,DK.Floor.ReEx.01.20,0,DK.Window.ReEx.07.23,0,0,,,,,,,,0.05,0,0.1,0.11,0,0.16,0,0,0.12,0,1.5,0,0,0.63,0,0.3,0,0.2,0,0,0.3,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,DK.N,national / whole country,246,12,4.2,447,313,524,313,150,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
56,DK.N.SFH.09.Gen.ReEx.001.002,0,0,2011-01-21,,Typology,DK,2,Variation,DK.N.SFH.09.Gen.ReEx.001,0,0,DK.N.SFH.09.Gen,ReEx,SFH,DK.09,2007,2010,SingleFamily,478.8,171,171,0,0,0,0,1,1,,TR,,-,,-,,B_Alone,0,0,0,0,0,0,,0,,0,0,171,0,150,0,0,149,0,24.7,0,0,0,0.4,15,4.2,5.1,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Low,Low,Low,DK.Ceiling.ReEx.01.08,0,DK.Wall.ReEx.01.34,0,0,DK.Floor.ReEx.01.20,0,DK.Window.ReEx.07.23,0,0,,,,,,,,0.05,0.05,0.1,0.11,0,0.16,0,0,0.12,0,1.5,0,0,0.63,0,0.3,0,0.2,0,0,0.3,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,DK.N,national / whole country,246,12,4.2,447,313,524,313,150,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
57,DK.N.SFH.09.Gen.ReEx.001.003,0,0,2011-01-21,,Typology,DK,3,Variation,DK.N.SFH.09.Gen.ReEx.001,0,0,DK.N.SFH.09.Gen,ReEx,SFH,DK.09,2007,2010,SingleFamily,478.8,171,171,0,0,0,0,1,1,,TR,,-,,-,,B_Alone,0,0,0,0,0,0,,0,,0,0,171,0,150,0,0,149,0,24.7,0,0,0,0.4,15,4.2,5.1,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Low,Low,Low,DK.Ceiling.ReEx.01.08,0,DK.Wall.ReEx.01.34,0,0,DK.Floor.ReEx.01.20,0,DK.Window.ReEx.07.23,0,0,,,,,,,,0.05,0.05,0.1,0.11,0,0.16,0,0,0.12,0,1.5,0,0,0.63,0,0.3,0,0.2,0,0,0.3,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,DK.N,national / whole country,246,12,4.2,447,313,524,313,150,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
58,DK.N.SFH.10.Gen.ReEx.001.001,0,0,2014-03-14,2014-06-07,Typology,DK,1,Variation,DK.N.SFH.10.Gen.ReEx.001,Standard BR10 house,Standard BR10 hus,DK.N.SFH.10.Gen,ReEx,SFH,DK.10,2011,9999,SingleFamily,445,178,178,0,0,0,0,1,1,,TR,,-,,-,,B_Alone,0,0,0,0,0,0,,0,,0,0,178,0,152.4,0,0,178,0,33.5,0,0,0,1.3,11,9.1,12.1,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,VeryLow,0,Low,DK.Ceiling.ReEx.10.01,0,DK.Wall.ReEx.10.01,0,0,DK.Floor.ReEx.10.01,0,DK.Window.ReEx.10.01,0,0,,,,,,,,0.02,0,0.1,0.11,0,0.18,0,0,0.1,0,1.3,0,0,0.64,0,0.46,0,0.19,0,0,0.35,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,DK.N,national / whole country,246,12,4.2,447,313,524,313,150,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
59,DK.N.SFH.10.Gen.ReEx.001.002,0,0,2014-03-14,2014-06-07,Typology,DK,2,Variation,DK.N.SFH.10.Gen.ReEx.001,Low energy 2015 house,Lavenergi 2015,DK.N.SFH.10.Gen,ReEx,SFH,DK.10,2011,9999,SingleFamily,445,178,178,0,0,0,0,1,1,,TR,,-,,-,,B_Alone,0,0,0,0,0,0,,0,,0,0,178,0,152.4,0,0,178,0,33.5,0,0,0,1.3,11,9.1,12.1,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,VeryLow,VeryLow,Minimal,DK.Ceiling.ReEx.10.01,0,DK.Wall.ReEx.10.01,0,0,DK.Floor.ReEx.10.01,0,DK.Window.ReEx.10.01,0,0,,,,,,,,0.02,0.02,0.05,0.11,0,0.18,0,0,0.1,0,1.3,0,0,0.64,0,0.46,0,0.19,0,0,0.35,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5,0,DK.Ceiling.LowE2015_SFH.01,0,DK.Wall.LowE2015_SFH.01,0,0,DK.Floor.LowE2015_SFH.01,0,DK.Window.LowE2015.01,0,0,12.5,0,7.142857,0,0,12.5,0,1.25,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Replace,,0,,Replace,,0,,0,,Replace,,0,,Replace,,0,,0,1,1,1,1,1,1,1,1,1,1,DK.N,national / whole country,246,12,4.2,447,313,524,313,150,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
60,DK.N.SFH.10.Gen.ReEx.001.003,0,0,2014-03-14,2014-06-07,Typology,DK,3,Variation,DK.N.SFH.10.Gen.ReEx.001,2020 house,2020 bygning,DK.N.SFH.10.Gen,ReEx,SFH,DK.10,2011,9999,SingleFamily,445,178,178,0,0,0,0,1,1,,TR,,-,,-,,B_Alone,0,0,0,0,0,0,,0,,0,0,178,0,152.4,0,0,178,0,33.5,0,0,0,1.3,11,9.1,12.1,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,VeryLow,Minimal,Minimal,DK.Ceiling.ReEx.10.01,0,DK.Wall.ReEx.10.01,0,0,DK.Floor.ReEx.10.01,0,DK.Window.ReEx.10.01,0,0,,,,,,,,0.02,0,0.05,0.11,0,0.18,0,0,0.1,0,1.3,0,0,0.64,0,0.46,0,0.19,0,0,0.35,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5,0,DK.Ceiling.NZEB2020_SFH.02,0,DK.Wall.NZEB2020_SFH.02,0,0,DK.Floor.NZEB2020_SFH.02,0,DK.Window.NZEB2020.02,0,0,16.666666,0,11.111111,0,0,16.666666,0,1.25,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Replace,,0,,Replace,,0,,0,,Replace,,0,,Replace,,0,,0,1,1,1,1,1,1,1,1,1,1,DK.N,national / whole country,246,12,4.2,447,313,524,313,150,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
61,DK.N.TH.01.Gen.ReEx.001.001,0,0,2011-01-21,,Typology,DK,1,Refurbishment,DK.N.TH.01.Gen.ReEx.001,0,0,DK.N.TH.01.Gen,ReEx,TH,DK.01,0,1850,SingleFamily,305.2,109,109,0,0,0,0,1,2,,TR,,-,,-,,B_N1,0,0,0,0,0,0,,0,,0,0,88,0,15,18,0,66,0,9.8,0,0,0,4.5,0,4.6,0.7,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,0,Medium,DK.Ceiling.ReEx.01.03,0,DK.Wall.ReEx.01.32,DK.Wall.ReEx.01.31,0,DK.Floor.ReEx.01.26,0,DK.Window.ReEx.05.42,0,0,,,,,,,,0.1,0,0.2,0.6,0,1.6,0.6,0,0.34,0,2.8,0,0,0.76,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,DK.N,national / whole country,246,12,4.2,447,313,524,313,150,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
62,DK.N.TH.01.Gen.ReEx.001.002,0,0,2011-01-21,,Typology,DK,2,Refurbishment,DK.N.TH.01.Gen.ReEx.001,0,0,DK.N.TH.01.Gen,ReEx,TH,DK.01,0,1850,SingleFamily,305.2,109,109,0,0,0,0,1,2,,TR,,-,,-,,B_N1,0,0,0,0,0,0,,0,,0,0,88,0,15,18,0,66,0,9.8,0,0,0,4.5,0,4.6,0.7,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Medium,Medium,DK.Ceiling.ReEx.01.03,0,DK.Wall.ReEx.01.32,DK.Wall.ReEx.01.31,0,DK.Floor.ReEx.01.26,0,DK.Window.ReEx.05.42,0,0,,,,,,,,0.1,0.1,0.2,0.6,0,1.6,0.6,0,0.34,0,2.8,0,0,0.76,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.5,0,DK.Ceiling.Add250mm.03,0,DK.Wall.Brick_Cavity_reinsulated.01,0,0,DK.Floor.New_Floor_250mm_iso.01,0,"DK.Window.Farm house window, Replacement to 2-layer low-energy glazing.01",0,0,6.9444447,0,1.875,0,0,8.333333,0,0.71428573,0,0,0.61,0,0.25,0,0.075,0,0,0.25,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Replace,,0,,Replace,,0,,0,1,1,1,1,1,1,1,1,1,1,DK.N,national / whole country,246,12,4.2,447,313,524,313,150,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
63,DK.N.TH.01.Gen.ReEx.001.003,0,0,2011-01-21,,Typology,DK,3,Refurbishment,DK.N.TH.01.Gen.ReEx.001,0,0,DK.N.TH.01.Gen,ReEx,TH,DK.01,0,1850,SingleFamily,305.2,109,109,0,0,0,0,1,2,,TR,,-,,-,,B_N1,0,0,0,0,0,0,,0,,0,0,88,0,15,18,0,66,0,9.8,0,0,0,4.5,0,4.6,0.7,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Medium,Medium,DK.Ceiling.ReEx.01.03,0,DK.Wall.ReEx.01.32,DK.Wall.ReEx.01.31,0,DK.Floor.ReEx.01.26,0,DK.Window.ReEx.05.42,0,0,,,,,,,,0.1,0.1,0.2,0.6,0,1.6,0.6,0,0.34,0,2.8,0,0,0.76,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.5,0,DK.Ceiling.Add350mm.05,0,DK.Wall.Brick_Cavity_reinsulated_plus_external225mm.02,0,0,DK.Floor.New_Floor_300mm_iso.01,0,"DK.Window.Farm house window, Replacement to 3-layer low-energy glazing.02",0,0,9.722222,0,7.5,0,0,8.333333,0,1.1111112,0,0,0.5,0,0.35,0,0.3,0,0,0.3,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Replace,,0,,Replace,,0,,0,1,1,1,1,1,1,1,1,1,1,DK.N,national / whole country,246,12,4.2,447,313,524,313,150,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
64,DK.N.TH.02.Gen.ReEx.001.001,0,0,2011-01-21,,Typology,DK,1,Refurbishment,DK.N.TH.02.Gen.ReEx.001,0,0,DK.N.TH.02.Gen,ReEx,TH,DK.02,1851,1930,SingleFamily,386.4,138,138,0,0,0,0,1,3,,TR,,-,,-,,B_N2,0,0,0,0,0,0,,0,,0,0,65.2,0,59,0,0,48.8,0,15.2,0,0,0,8,0,7.2,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,0,Medium,DK.Ceiling.ReEx.01.02,0,DK.Wall.ReEx.01.04,0,0,DK.Floor.ReEx.01.05,0,DK.Window.ReEx.05.32,0,0,,,,,,,,0.1,0,0.2,1.5,0,1.5,0,0,1.5,0,2.7,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,DK.N,national / whole country,246,12,4.2,447,313,524,313,150,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
65,DK.N.TH.02.Gen.ReEx.001.002,0,0,2011-01-21,,Typology,DK,2,Refurbishment,DK.N.TH.02.Gen.ReEx.001,0,0,DK.N.TH.02.Gen,ReEx,TH,DK.02,1851,1930,SingleFamily,386.4,138,138,0,0,0,0,1,3,,TR,,-,,-,,B_N2,0,0,0,0,0,0,,0,,0,0,65.2,0,59,0,0,48.8,0,15.2,0,0,0,8,0,7.2,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Medium,Medium,DK.Ceiling.ReEx.01.02,0,DK.Wall.ReEx.01.04,0,0,DK.Floor.ReEx.01.05,0,DK.Window.ReEx.05.32,0,0,,,,,,,,0.1,0.1,0.2,1.5,0,1.5,0,0,1.5,0,2.7,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5,0,DK.Ceiling.Add300mm.04,0,DK.Wall.Add_125mm.04,0,0,DK.Floor.Add_100mm.02,0,"DK.Window.Dannebrogs window, Replacement to 2-layer low-energy glazing.01",0,0,8.333333,0,3.4722223,0,0,3.125,0,0.71428573,0,0,0.61,0,0.3,0,0.125,0,0,0.1,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,0,,Replace,,0,,0,1,1,1,1,1,1,1,1,1,1,DK.N,national / whole country,246,12,4.2,447,313,524,313,150,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
66,DK.N.TH.02.Gen.ReEx.001.003,0,0,2011-01-21,,Typology,DK,3,Refurbishment,DK.N.TH.02.Gen.ReEx.001,0,0,DK.N.TH.02.Gen,ReEx,TH,DK.02,1851,1930,SingleFamily,386.4,138,138,0,0,0,0,1,3,,TR,,-,,-,,B_N2,0,0,0,0,0,0,,0,,0,0,65.2,0,59,0,0,48.8,0,15.2,0,0,0,8,0,7.2,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Medium,Medium,DK.Ceiling.ReEx.01.02,0,DK.Wall.ReEx.01.04,0,0,DK.Floor.ReEx.01.05,0,DK.Window.ReEx.05.32,0,0,,,,,,,,0.1,0.1,0.2,1.5,0,1.5,0,0,1.5,0,2.7,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5,0,DK.Ceiling.Add400mm.06,0,DK.Wall.Add_225mm.08,0,0,DK.Floor.Add_200mm.04,0,"DK.Window.Dannebrogs window, Replacement to 3-layer low-energy glazing.02",0,0,11.111111,0,6.25,0,0,6.25,0,1.1111112,0,0,0.5,0,0.4,0,0.225,0,0,0.2,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,0,,Replace,,0,,0,1,1,1,1,1,1,1,1,1,1,DK.N,national / whole country,246,12,4.2,447,313,524,313,150,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
67,DK.N.TH.03.Gen.ReEx.001.001,0,0,2011-01-21,,Typology,DK,1,Refurbishment,DK.N.TH.03.Gen.ReEx.001,0,0,DK.N.TH.03.Gen,ReEx,TH,DK.03,1931,1950,SingleFamily,313.6,112,112,0,0,0,0,1,2,,TR,,-,,-,,B_N2,0,0,0,0,0,0,,0,,0,0,75,0,30,0,0,62,0,13.2,0,0,0,7.2,0,6,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,0,Medium,DK.Ceiling.ReEx.01.06,0,DK.Wall.ReEx.01.32,0,0,DK.Floor.ReEx.01.06,0,DK.Window.ReEx.05.32,0,0,,,,,,,,0.1,0,0.2,0.2,0,1.6,0,0,1.3,0,2.7,0,0,0.76,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,DK.N,national / whole country,246,12,4.2,447,313,524,313,150,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
68,DK.N.TH.03.Gen.ReEx.001.002,0,0,2011-01-21,,Typology,DK,2,Refurbishment,DK.N.TH.03.Gen.ReEx.001,0,0,DK.N.TH.03.Gen,ReEx,TH,DK.03,1931,1950,SingleFamily,313.6,112,112,0,0,0,0,1,2,,TR,,-,,-,,B_N2,0,0,0,0,0,0,,0,,0,0,75,0,30,0,0,62,0,13.2,0,0,0,7.2,0,6,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Medium,Medium,DK.Ceiling.ReEx.01.06,0,DK.Wall.ReEx.01.32,0,0,DK.Floor.ReEx.01.06,0,DK.Window.ReEx.05.32,0,0,,,,,,,,0.1,0.1,0.2,0.2,0,1.6,0,0,1.3,0,2.7,0,0,0.76,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,DK.Ceiling.Add100mm.01,0,DK.Wall.Brick_Cavity_reinsulated.01,0,0,DK.Floor.Add_100mm.02,0,"DK.Window.Side/Top hung window with 2 or more sections, Replacement to 2-layer low-energy glazing.01",0,0,2.7777777,0,1.875,0,0,3.125,0,0.71428573,0,0,0.61,0,0.1,0,0.075,0,0,0.1,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,0,,Replace,,0,,0,1,1,1,1,1,1,1,1,1,1,DK.N,national / whole country,246,12,4.2,447,313,524,313,150,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
69,DK.N.TH.03.Gen.ReEx.001.003,0,0,2011-01-21,,Typology,DK,3,Refurbishment,DK.N.TH.03.Gen.ReEx.001,0,0,DK.N.TH.03.Gen,ReEx,TH,DK.03,1931,1950,SingleFamily,313.6,112,112,0,0,0,0,1,2,,TR,,-,,-,,B_N2,0,0,0,0,0,0,,0,,0,0,75,0,30,0,0,62,0,13.2,0,0,0,7.2,0,6,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Medium,Medium,DK.Ceiling.ReEx.01.06,0,DK.Wall.ReEx.01.32,0,0,DK.Floor.ReEx.01.06,0,DK.Window.ReEx.05.32,0,0,,,,,,,,0.1,0.1,0.2,0.2,0,1.6,0,0,1.3,0,2.7,0,0,0.76,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,DK.Ceiling.Add200mm.02,0,DK.Wall.Brick_Cavity_reinsulated_plus_external225mm.02,0,0,DK.Floor.Add_200mm.04,0,"DK.Window.Side/Top hung window with 2 or more sections, Replacement to 3-layer low-energy glazing.02",0,0,5.5555553,0,7.5,0,0,6.25,0,1.1111112,0,0,0.5,0,0.2,0,0.3,0,0,0.2,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,0,,Replace,,0,,0,1,1,1,1,1,1,1,1,1,1,DK.N,national / whole country,246,12,4.2,447,313,524,313,150,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
70,DK.N.TH.04.Gen.ReEx.001.001,0,0,2011-01-21,,Typology,DK,1,Refurbishment,DK.N.TH.04.Gen.ReEx.001,0,0,DK.N.TH.04.Gen,ReEx,TH,DK.04,1951,1960,SingleFamily,285.6,102,102,0,0,0,0,1,2,,TR,,-,,-,,B_N2,0,0,0,0,0,0,,0,,0,0,90,0,38,0,0,58,0,16.7,0,0,0,8.6,0,8.1,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,0,Medium,DK.Ceiling.ReEx.01.04,0,DK.Wall.ReEx.01.35,0,0,DK.Floor.ReEx.01.07,0,DK.Window.ReEx.05.32,0,0,,,,,,,,0.1,0,0.2,0.38,0,0.67,0,0,0.6,0,2.7,0,0,0.76,0,0.1,0,0.075,0,0,0.05,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,DK.N,national / whole country,246,12,4.2,447,313,524,313,150,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
