id,Code_BuildingVariant,Remark_BuildingVariant_1,Remark_BuildingVariant_2,Date_Entry,Date_Change,Code_StatusDataset,Code_Country,Number_BuildingVariant,Code_TypeVariant,Code_Building,Description_BuildingVariant,Description_BuildingVariant_National,Code_BuildingType,Code_DataType_Building,Code_BuildingSizeClass,Code_ConstructionYearClass,Year1_Building,Year2_Building,Code_UtilisationType,V_C,A_C_National,A_C_ExtDim,A_C_IntDim,A_C_Use,A_C_Living,A_C_Ref_Input,n_Apartment,n_Storey,Code_RoofType_val_data,Code_RoofType,Code_AtticCond_val_data,Code_AtticCond,Code_CellarCond_val_data,Code_CellarCond,Code_AttachedNeighbours_val_data,Code_AttachedNeighbours,A_SolarPotential_1,Code_Orientation_SolarPotential_1,Inclination_SolarPotential_1,A_SolarPotential_2,Code_Orientation_SolarPotential_2,Inclination_SolarPotential_2,Code_ComplexFootprint_val_data,Code_ComplexFootprint,Code_ComplexRoof_val_data,Code_ComplexRoof,h_Ceiling,A_Roof_1,A_Roof_2,A_Wall_1,A_Wall_2,A_Wall_3,A_Floor_1,A_Floor_2,A_Window_1,A_Window_2,A_Door_1,A_Window_Horizontal,A_Window_East,A_Window_South,A_Window_West,A_Window_North,Code_TypeIntake_EnvelopeArea_val_data,Code_TypeIntake_EnvelopeArea,f_Corr_CeilingHeight,f_PlausiCrit_EnvSum_LowerLimit,f_PlausiCrit_EnvSum_UpperLimit,f_PlausiCrit_FloorArea_LowerLimit,f_PlausiCrit_FloorArea_UpperLimit,f_PlausiCrit_WindowArea_LowerLimit,f_PlausiCrit_WindowArea_UpperLimit,Code_ThermalBridging_Original,Code_ThermalBridging_Refurbished,Code_Infiltration_Actual,Code_Roof_1,Code_Roof_2,Code_Wall_1,Code_Wall_2,Code_Wall_3,Code_Floor_1,Code_Floor_2,Code_Window_1,Code_Window_2,Code_Door_1,Code_ConstructionBorder_Roof_1,Code_ConstructionBorder_Roof_2,Code_ConstructionBorder_Wall_1,Code_ConstructionBorder_Wall_2,Code_ConstructionBorder_Wall_3,Code_ConstructionBorder_Floor_1,Code_ConstructionBorder_Floor_2,delta_U_ThermalBridging_Original,delta_U_ThermalBridging_Refurbished,n_air_infiltration,U_Roof_1,U_Roof_2,U_Wall_1,U_Wall_2,U_Wall_3,U_Floor_1,U_Floor_2,U_Window_1,U_Window_2,U_Door_1,g_gl_n_Window_1,g_gl_n_Window_2,d_Insulation_Roof_1,d_Insulation_Roof_2,d_Insulation_Wall_1,d_Insulation_Wall_2,d_Insulation_Wall_3,d_Insulation_Floor_1,d_Insulation_Floor_2,R_Add_UnheatedSpace_Roof_1,R_Add_UnheatedSpace_Roof_2,R_Add_UnheatedSpace_Wall_1,R_Add_UnheatedSpace_Wall_2,R_Add_UnheatedSpace_Wall_3,R_Add_UnheatedSpace_Floor_1,R_Add_UnheatedSpace_Floor_2,b_Transmission_Roof_1,b_Transmission_Roof_2,b_Transmission_Wall_1,b_Transmission_Wall_2,b_Transmission_Wall_3,b_Transmission_Floor_1,b_Transmission_Floor_2,Code_Measure_Roof_1,Code_Measure_Roof_2,Code_Measure_Wall_1,Code_Measure_Wall_2,Code_Measure_Wall_3,Code_Measure_Floor_1,Code_Measure_Floor_2,Code_Measure_Window_1,Code_Measure_Window_2,Code_Measure_Door_1,R_PredefinedMeasure_Roof_1,R_PredefinedMeasure_Roof_2,R_PredefinedMeasure_Wall_1,R_PredefinedMeasure_Wall_2,R_PredefinedMeasure_Wall_3,R_PredefinedMeasure_Floor_1,R_PredefinedMeasure_Floor_2,R_PredefinedMeasure_Window_1,R_PredefinedMeasure_Window_2,R_PredefinedMeasure_Door_1,g_gl_n_PredefinedMeasure_Window_1,g_gl_n_PredefinedMeasure_Window_2,d_Insulation_PredefinedMeasure_Roof_1,d_Insulation_PredefinedMeasure_Roof_2,d_Insulation_PredefinedMeasure_Wall_1,d_Insulation_PredefinedMeasure_Wall_2,d_Insulation_PredefinedMeasure_Wall_3,d_Insulation_PredefinedMeasure_Floor_1,d_Insulation_PredefinedMeasure_Floor_2,d_Insulation_Input_Measure_Roof_1,d_Insulation_Input_Measure_Roof_2,d_Insulation_Input_Measure_Wall_1,d_Insulation_Input_Measure_Wall_2,d_Insulation_Input_Measure_Wall_3,d_Insulation_Input_Measure_Floor_1,d_Insulation_Input_Measure_Floor_2,Code_MeasureType_Roof_1_val_data,Code_MeasureType_Roof_1,Code_MeasureType_Roof_2_val_data,Code_MeasureType_Roof_2,Code_MeasureType_Wall_1_val_data,Code_MeasureType_Wall_1,Code_MeasureType_Wall_2_val_data,Code_MeasureType_Wall_2,Code_MeasureType_Wall_3_val_data,Code_MeasureType_Wall_3,Code_MeasureType_Floor_1_val_data,Code_MeasureType_Floor_1,Code_MeasureType_Floor_2_val_data,Code_MeasureType_Floor_2,Code_MeasureType_Window_1_val_data,Code_MeasureType_Window_1,Code_MeasureType_Window_2_val_data,Code_MeasureType_Window_2,Code_MeasureType_Door_1_val_data,Code_MeasureType_Door_1,f_Measure_Roof_1,f_Measure_Roof_2,f_Measure_Wall_1,f_Measure_Wall_2,f_Measure_Wall_3,f_Measure_Floor_1,f_Measure_Floor_2,f_Measure_Window_1,f_Measure_Window_2,f_Measure_Door_1,Code_ClimateRegion,Name_ClimateRegion,HeatingDays,Theta_e_Base,Theta_e,I_Sol_Hor,I_Sol_East,I_Sol_South,I_Sol_West,I_Sol_North,Code_BoundaryCond,theta_i,F_red_htr1,F_red_htr4,n_air_use,h_room,phi_int,q_w_nd,F_sh_hor,F_sh_vert,F_f,F_w,c_m
96,SI.N.TH.03.Gen.ReEx.001.004,"Testen, AR",0,,,Typology,SI,4,Refurbishment,SI.N.TH.03.Gen.ReEx.001,nZEB refurbishment,nZEB prenova,SI.N.TH.03.Gen,ReEx,TH,SI.03,1971,1980,SingleFamily,354.365,113.3968,0,113.3968,0,0,0,1,1,,TR,,-,,N,,B_N2,0,0,0,0,0,0,,0,,0,0,128.86,0,52.34,0,0,128.86,0,19.33,0,2.31,0,6.36,7.34,5.63,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,VeryLow,Minimal,SI.Roof.ReEx.04.02,0,SI.Wall.ReEx.04.05,0,0,SI.Floor.ReEx.04.01,0,SI.Window.ReEx.01.02,0,SI.Door.ReEx.01.01,,,,,,,,0.1,0.02,0.05,0.3,0,0.38,0,0,0.65,0,2.2,0,2.2,0.6,0,0.12,0,0.08,0,0,0.05,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5,0,SI.Ceiling.Insulation30cm.01,0,SI.Wall.Insulation30cm.01,0,0,SI.Ceiling.Insulation20cm.01,0,SI.Window.3p-LowE-arg.01,0,SI.Door.NewDoor.01,8.333333,0,10,0,0,5.714286,0,1.3333334,0,1.2,0.5,0,0.3,0,0.3,0,0,0.2,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,SI.N,national / whole country,206,12,4.3,375,241,292,218,98,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
97,SI.N.TH.04.Gen.ReEx.001.001,"Vile Brdo, dvojček, EI",0,,,Typology,SI,1,Refurbishment,SI.N.TH.04.Gen.ReEx.001,Un-refurbished,Brez prenove.,SI.N.TH.04.Gen,ReEx,TH,SI.04,1981,2001,SingleFamily,733,234,0,234,0,0,0,1,1,,TR,,-,,N,,B_N1,0,0,0,0,0,0,,0,,0,0,133.2,0,169.8,0,0,145.82,0,55,0,5,0,14.44,38.63,0,8.39,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,High,High,SI.Roof.ReEx.05.02,0,SI.Wall.ReEx.05.02,0,0,SI.Floor.ReEx.05.01,0,SI.Window.ReEx.01.02,0,SI.Door.ReEx.01.01,,,,,,,,0.1,0.15,0.4,0.13,0,0.3,0,0,0.33,0,2.2,0,2.2,0.6,0,0.3,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,SI.N,national / whole country,206,12,4.3,375,241,292,218,98,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
98,SI.N.TH.04.Gen.ReEx.001.002,"Vile Brdo, dvojček, EI",0,,,Typology,SI,2,Refurbishment,SI.N.TH.04.Gen.ReEx.001,Standard refurbishment,Prenova.,SI.N.TH.04.Gen,ReEx,TH,SI.04,1981,2001,SingleFamily,733,234,0,234,0,0,0,1,1,,TR,,-,,N,,B_N1,0,0,0,0,0,0,,0,,0,0,133.2,0,169.8,0,0,145.82,0,55,0,5,0,14.44,38.63,0,8.39,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Medium,Medium,SI.Roof.ReEx.05.02,0,SI.Wall.ReEx.05.02,0,0,SI.Floor.ReEx.05.01,0,SI.Window.ReEx.01.02,0,SI.Door.ReEx.01.01,,,,,,,,0.1,0.1,0.2,0.13,0,0.3,0,0,0.33,0,2.2,0,2.2,0.6,0,0.3,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5,0,SI.Ceiling.Insulation15cm.01,0,SI.Wall.Insulation15cm.01,0,0,SI.Ceiling.Insulation08cm.01,0,SI.Window.2p-LowE-arg.01,0,0,4.285714,0,3.75,0,0,2.2857144,0,0.90909094,0,0,0.6,0,0.15,0,0.15,0,0,0.08,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,0,,Replace,,0,,0,1,1,1,1,1,1,1,1,1,1,SI.N,national / whole country,206,12,4.3,375,241,292,218,98,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
99,SI.N.TH.04.Gen.ReEx.001.003,"Vile Brdo, dvojček, EI",0,,,Typology,SI,3,Refurbishment,SI.N.TH.04.Gen.ReEx.001,Advanced refurbishment,Izboljšana prenova.,SI.N.TH.04.Gen,ReEx,TH,SI.04,1981,2001,SingleFamily,733,234,0,234,0,0,0,1,1,,TR,,-,,N,,B_N1,0,0,0,0,0,0,,0,,0,0,133.2,0,169.8,0,0,145.82,0,55,0,5,0,14.44,38.63,0,8.39,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Low,Low,SI.Roof.ReEx.05.02,0,SI.Wall.ReEx.05.02,0,0,SI.Floor.ReEx.05.01,0,SI.Window.ReEx.01.02,0,SI.Door.ReEx.01.01,,,,,,,,0.1,0.05,0.1,0.13,0,0.3,0,0,0.33,0,2.2,0,2.2,0.6,0,0.3,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5,0,SI.Ceiling.Insulation20cm.01,0,SI.Wall.Insulation20cm.01,0,0,SI.Ceiling.Insulation20cm.01,0,SI.Window.3p-LowE-arg.01,0,SI.Door.NewDoor.01,5.714286,0,5,0,0,5.714286,0,1.3333334,0,1.2,0.5,0,0.2,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,SI.N,national / whole country,206,12,4.3,375,241,292,218,98,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
100,SI.N.TH.04.Gen.ReEx.001.004,"Vile Brdo, dvojček, EI",0,,,Typology,SI,4,Refurbishment,SI.N.TH.04.Gen.ReEx.001,nZEB refurbishment,nZEB prenova,SI.N.TH.04.Gen,ReEx,TH,SI.04,1981,2001,SingleFamily,733,234,0,234,0,0,0,1,1,,TR,,-,,N,,B_N1,0,0,0,0,0,0,,0,,0,0,133.2,0,169.8,0,0,145.82,0,55,0,5,0,14.44,38.63,0,8.39,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,VeryLow,Minimal,SI.Roof.ReEx.05.02,0,SI.Wall.ReEx.05.02,0,0,SI.Floor.ReEx.05.01,0,SI.Window.ReEx.01.02,0,SI.Door.ReEx.01.01,,,,,,,,0.1,0.02,0.05,0.13,0,0.3,0,0,0.33,0,2.2,0,2.2,0.6,0,0.3,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5,0,SI.Ceiling.Insulation30cm.01,0,SI.Wall.Insulation30cm.01,0,0,SI.Ceiling.Insulation20cm.01,0,SI.Window.3p-LowE-arg.01,0,SI.Door.NewDoor.01,8.333333,0,10,0,0,5.714286,0,1.3333334,0,1.2,0.5,0,0.3,0,0.3,0,0,0.2,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,SI.N,national / whole country,206,12,4.3,375,241,292,218,98,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
101,SI.N.TH.05.Gen.ReEx.001.001,"Rače, EI",0,,,Typology,SI,1,Variation,SI.N.TH.05.Gen.ReEx.001,Standard 2002,V skladu s PURES 2002,SI.N.TH.05.Gen,ReEx,TH,SI.05,2002,2008,SingleFamily,544,174,0,174,0,0,0,1,1,,FR,,-,,N,,B_N2,0,0,0,0,0,0,,0,,0,0,162.68,0,134.17,0,0,161.23,0,20.5,0,2.03,0,5.25,11.85,2.8,0.6,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Low,Medium,Medium,SI.Roof.ReEx.05.01,0,SI.Wall.ReEx.05.02,0,0,SI.Floor.ReEx.05.01,0,SI.Window.ReEx.04.02,0,SI.Door.ReEx.01.01,,,,,,,,0.05,0.1,0.2,0.2,0,0.3,0,0,0.33,0,1.4,0,2.2,0.6,0,0.2,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5,0,SI.Ceiling.Insulation20cm.01,0,SI.Wall.Insulation15cm.01,0,0,SI.Ceiling.Insulation15cm.01,0,SI.Window.2p-LowE-arg.01,0,0,5.714286,0,3.75,0,0,4.285714,0,0.90909094,0,0,0.6,0,0.2,0,0.15,0,0,0.15,0,0,0,0,0,0,0,0,,Replace,,0,,Replace,,0,,0,,Replace,,0,,Replace,,0,,0,1,1,1,1,1,1,1,1,1,1,SI.N,national / whole country,206,12,4.3,375,241,292,218,98,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
102,SI.N.TH.05.Gen.ReEx.001.002,"Rače, EI",0,,,Typology,SI,2,Variation,SI.N.TH.05.Gen.ReEx.001,Standard 2010,V skladu s PURES 2010,SI.N.TH.05.Gen,ReEx,TH,SI.05,2002,2008,SingleFamily,544,174,0,174,0,0,0,1,1,,FR,,-,,N,,B_N2,0,0,0,0,0,0,,0,,0,0,162.68,0,134.17,0,0,161.23,0,20.5,0,2.03,0,5.25,11.85,2.8,0.6,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Low,Low,Low,SI.Roof.ReEx.05.01,0,SI.Wall.ReEx.05.02,0,0,SI.Floor.ReEx.05.01,0,SI.Window.ReEx.04.02,0,SI.Door.ReEx.01.01,,,,,,,,0.05,0.05,0.1,0.2,0,0.3,0,0,0.33,0,1.4,0,2.2,0.6,0,0.2,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5,0,SI.Ceiling.Insulation20cm.01,0,SI.Wall.Insulation20cm.01,0,0,SI.Ceiling.Insulation20cm.01,0,SI.Window.3p-LowE-arg.01,0,SI.Door.NewDoor.01,5.714286,0,5,0,0,5.714286,0,1.3333334,0,1.2,0.5,0,0.2,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,,Replace,,0,,Replace,,0,,0,,Replace,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,SI.N,national / whole country,206,12,4.3,375,241,292,218,98,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
103,SI.N.TH.05.Gen.ReEx.001.003,"Rače, EI",0,,,Typology,SI,3,Variation,SI.N.TH.05.Gen.ReEx.001,nZEB,nZEB prenova,SI.N.TH.05.Gen,ReEx,TH,SI.05,2002,2008,SingleFamily,544,174,0,174,0,0,0,1,1,,FR,,-,,N,,B_N2,0,0,0,0,0,0,,0,,0,0,162.68,0,134.17,0,0,161.23,0,20.5,0,2.03,0,5.25,11.85,2.8,0.6,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Low,VeryLow,Minimal,SI.Roof.ReEx.05.01,0,SI.Wall.ReEx.05.02,0,0,SI.Floor.ReEx.05.01,0,SI.Window.ReEx.04.02,0,SI.Door.ReEx.01.01,,,,,,,,0.05,0.02,0.05,0.2,0,0.3,0,0,0.33,0,1.4,0,2.2,0.6,0,0.2,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5,0,SI.Ceiling.Insulation30cm.01,0,SI.Wall.Insulation30cm.01,0,0,SI.Ceiling.Insulation20cm.01,0,SI.Window.3p-LowE-arg.01,0,SI.Door.NewDoor.01,8.333333,0,10,0,0,5.714286,0,1.3333334,0,1.2,0.5,0,0.3,0,0.3,0,0,0.2,0,0,0,0,0,0,0,0,,Replace,,0,,Replace,,0,,0,,Replace,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,SI.N,national / whole country,206,12,4.3,375,241,292,218,98,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
104,SI.N.TH.06.Gen.ReEx.001.001,"Wienerberger, dvojček",1,,,Typology,SI,1,Variation,SI.N.TH.06.Gen.ReEx.001,Standard 2010,V skladu s PURES 2010,SI.N.TH.06.Gen,ReEx,TH,SI.06,2009,9999,SingleFamily,587,188,0,188,0,0,0,1,1,,TR,,-,,N,,B_N1,0,0,0,0,0,0,,0,,0,0,104.16,0,183.09,0,0,100.2,0,29.32,0,5.11,0,15.12,3.96,6.44,3.78,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Minimal,Medium,Medium,SI.Roof.ReEx.05.03,0,SI.Wall.ReEx.05.06,0,0,SI.Floor.ReEx.05.02,0,SI.Window.ReEx.05.04,0,SI.Door.ReEx.01.02,,,,,,,,0,0.1,0.2,0.2,0,0.19,0,0,0.17,0,0.7,0,1.1,0.5,0,0.2,0,0.2,0,0,0.15,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5,0,SI.Roof.Insulation16cm.01,0,SI.Wall.Insulation15cm.01,0,0,SI.Floor.Insulation12cm.01,0,SI.Window.2p-LowE-arg.01,0,0,4.8892903,0,3.75,0,0,3.3333333,0,0.90909094,0,0,0.6,0,0.16,0,0.15,0,0,0.06,0,0,0,0,0,0,0,0,,Replace,,0,,Replace,,0,,0,,Replace,,0,,Replace,,0,,0,1,1,1,1,1,1,1,1,1,1,SI.N,national / whole country,206,12,4.3,375,241,292,218,98,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
105,SI.N.TH.06.Gen.ReEx.001.002,"Wienerberger, dvojček",11,,,Typology,SI,2,Variation,SI.N.TH.06.Gen.ReEx.001,Standard 2015,V skladu s PURES 2015,SI.N.TH.06.Gen,ReEx,TH,SI.06,2009,9999,SingleFamily,587,188,0,188,0,0,0,1,1,,TR,,-,,N,,B_N1,0,0,0,0,0,0,,0,,0,0,104.16,0,183.09,0,0,100.2,0,29.32,0,5.11,0,15.12,3.96,6.44,3.78,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Minimal,Low,Low,SI.Roof.ReEx.05.03,0,SI.Wall.ReEx.05.06,0,0,SI.Floor.ReEx.05.02,0,SI.Window.ReEx.05.04,0,SI.Door.ReEx.01.02,,,,,,,,0,0.05,0.1,0.2,0,0.19,0,0,0.17,0,0.7,0,1.1,0.5,0,0.2,0,0.2,0,0,0.15,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5,0,SI.Roof.Insulation20cm.01,0,SI.Wall.Insulation20cm.01,0,0,SI.Floor.Insulation20cm.01,0,SI.Window.3p-LowE-arg.01,0,SI.Door.NewDoor.01,6.032543,0,5,0,0,5.5555553,0,1.3333334,0,1.2,0.5,0,0.22,0,0.2,0,0,0.12,0,0,0,0,0,0,0,0,,Replace,,0,,Replace,,0,,0,,Replace,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,SI.N,national / whole country,206,12,4.3,375,241,292,218,98,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
106,SI.N.TH.06.Gen.ReEx.001.003,"Wienerberger, dvojček",21,,,Typology,SI,3,Variation,SI.N.TH.06.Gen.ReEx.001,nZEB,nZEB,SI.N.TH.06.Gen,ReEx,TH,SI.06,2009,9999,SingleFamily,587,188,0,188,0,0,0,1,1,,TR,,-,,N,,B_N1,0,0,0,0,0,0,,0,,0,0,104.16,0,183.09,0,0,100.2,0,29.32,0,5.11,0,15.12,3.96,6.44,3.78,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Minimal,VeryLow,Minimal,SI.Roof.ReEx.05.03,0,SI.Wall.ReEx.05.06,0,0,SI.Floor.ReEx.05.02,0,SI.Window.ReEx.05.04,0,SI.Door.ReEx.01.02,,,,,,,,0,0.02,0.05,0.2,0,0.19,0,0,0.17,0,0.7,0,1.1,0.5,0,0.2,0,0.2,0,0,0.15,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5,0,SI.Roof.Insulation30cm.01,0,SI.Wall.Insulation30cm.01,0,0,SI.Floor.Insulation20cm.01,0,SI.Window.3p-LowE-arg.01,0,SI.Door.NewDoor.01,10.045339,0,10,0,0,5.5555553,0,1.3333334,0,1.2,0.5,0,0.3,0,0.3,0,0,0.12,0,0,0,0,0,0,0,0,,Replace,,0,,Replace,,0,,0,,Replace,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,SI.N,national / whole country,206,12,4.3,375,241,292,218,98,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
107,SI.N.TH.06.Gen.ReEx.001.011,"Wienerberger, dvojček",2,,,Typology,SI,11,Variation,SI.N.TH.06.Gen.ReEx.001,Standard 2010,V skladu s PURES 2010,SI.N.TH.06.Gen,ReEx,TH,SI.06,2009,9999,SingleFamily,587,188,0,188,0,0,0,1,1,,TR,,-,,N,,B_N1,0,0,0,0,0,0,,0,,0,0,104.16,0,183.09,0,0,100.2,0,29.32,0,5.11,0,15.12,3.96,6.44,3.78,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Minimal,Medium,Medium,SI.Roof.ReEx.05.03,0,SI.Wall.ReEx.05.06,0,0,SI.Floor.ReEx.05.02,0,SI.Window.ReEx.05.04,0,SI.Door.ReEx.01.02,,,,,,,,0,0.1,0.2,0.2,0,0.19,0,0,0.17,0,0.7,0,1.1,0.5,0,0.2,0,0.2,0,0,0.15,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5,0,SI.Roof.Insulation16cm.01,0,SI.Wall.Insulation15cm.01,0,0,SI.Floor.Insulation12cm.01,0,SI.Window.2p-LowE-arg.01,0,0,4.8892903,0,3.75,0,0,3.3333333,0,0.90909094,0,0,0.6,0,0.16,0,0.15,0,0,0.06,0,0,0,0,0,0,0,0,,Replace,,0,,Replace,,0,,0,,Replace,,0,,Replace,,0,,0,1,1,1,1,1,1,1,1,1,1,SI.N,national / whole country,206,12,4.3,375,241,292,218,98,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
108,SI.N.TH.06.Gen.ReEx.001.012,"Wienerberger, dvojček",12,,,Typology,SI,12,Variation,SI.N.TH.06.Gen.ReEx.001,Standard 2015,V skladu s PURES 2015,SI.N.TH.06.Gen,ReEx,TH,SI.06,2009,9999,SingleFamily,587,188,0,188,0,0,0,1,1,,TR,,-,,N,,B_N1,0,0,0,0,0,0,,0,,0,0,104.16,0,183.09,0,0,100.2,0,29.32,0,5.11,0,15.12,3.96,6.44,3.78,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Minimal,Low,Low,SI.Roof.ReEx.05.03,0,SI.Wall.ReEx.05.06,0,0,SI.Floor.ReEx.05.02,0,SI.Window.ReEx.05.04,0,SI.Door.ReEx.01.02,,,,,,,,0,0.05,0.1,0.2,0,0.19,0,0,0.17,0,0.7,0,1.1,0.5,0,0.2,0,0.2,0,0,0.15,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5,0,SI.Roof.Insulation20cm.01,0,SI.Wall.Insulation20cm.01,0,0,SI.Floor.Insulation20cm.01,0,SI.Window.3p-LowE-arg.01,0,SI.Door.NewDoor.01,6.032543,0,5,0,0,5.5555553,0,1.3333334,0,1.2,0.5,0,0.22,0,0.2,0,0,0.12,0,0,0,0,0,0,0,0,,Replace,,0,,Replace,,0,,0,,Replace,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,SI.N,national / whole country,206,12,4.3,375,241,292,218,98,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
109,SI.N.TH.06.Gen.ReEx.001.013,"Wienerberger, dvojček",22,,,Typology,SI,13,Variation,SI.N.TH.06.Gen.ReEx.001,nZEB,nZEB,SI.N.TH.06.Gen,ReEx,TH,SI.06,2009,9999,SingleFamily,587,188,0,188,0,0,0,1,1,,TR,,-,,N,,B_N1,0,0,0,0,0,0,,0,,0,0,104.16,0,183.09,0,0,100.2,0,29.32,0,5.11,0,15.12,3.96,6.44,3.78,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Minimal,VeryLow,Minimal,SI.Roof.ReEx.05.03,0,SI.Wall.ReEx.05.06,0,0,SI.Floor.ReEx.05.02,0,SI.Window.ReEx.05.04,0,SI.Door.ReEx.01.02,,,,,,,,0,0.02,0.05,0.2,0,0.19,0,0,0.17,0,0.7,0,1.1,0.5,0,0.2,0,0.2,0,0,0.15,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5,0,SI.Roof.Insulation30cm.01,0,SI.Wall.Insulation30cm.01,0,0,SI.Floor.Insulation20cm.01,0,SI.Window.3p-LowE-arg.01,0,SI.Door.NewDoor.01,10.045339,0,10,0,0,5.5555553,0,1.3333334,0,1.2,0.5,0,0.3,0,0.3,0,0,0.12,0,0,0,0,0,0,0,0,,Replace,,0,,Replace,,0,,0,,Replace,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,SI.N,national / whole country,206,12,4.3,375,241,292,218,98,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
