id,Code_BuildingVariant,Remark_BuildingVariant_1,Remark_BuildingVariant_2,Date_Entry,Date_Change,Code_StatusDataset,Code_Country,Number_BuildingVariant,Code_TypeVariant,Code_Building,Description_BuildingVariant,Description_BuildingVariant_National,Code_BuildingType,Code_DataType_Building,Code_BuildingSizeClass,Code_ConstructionYearClass,Year1_Building,Year2_Building,Code_UtilisationType,V_C,A_C_National,A_C_ExtDim,A_C_IntDim,A_C_Use,A_C_Living,A_C_Ref_Input,n_Apartment,n_Storey,Code_RoofType_val_data,Code_RoofType,Code_AtticCond_val_data,Code_AtticCond,Code_CellarCond_val_data,Code_CellarCond,Code_AttachedNeighbours_val_data,Code_AttachedNeighbours,A_SolarPotential_1,Code_Orientation_SolarPotential_1,Inclination_SolarPotential_1,A_SolarPotential_2,Code_Orientation_SolarPotential_2,Inclination_SolarPotential_2,Code_ComplexFootprint_val_data,Code_ComplexFootprint,Code_ComplexRoof_val_data,Code_ComplexRoof,h_Ceiling,A_Roof_1,A_Roof_2,A_Wall_1,A_Wall_2,A_Wall_3,A_Floor_1,A_Floor_2,A_Window_1,A_Window_2,A_Door_1,A_Window_Horizontal,A_Window_East,A_Window_South,A_Window_West,A_Window_North,Code_TypeIntake_EnvelopeArea_val_data,Code_TypeIntake_EnvelopeArea,f_Corr_CeilingHeight,f_PlausiCrit_EnvSum_LowerLimit,f_PlausiCrit_EnvSum_UpperLimit,f_PlausiCrit_FloorArea_LowerLimit,f_PlausiCrit_FloorArea_UpperLimit,f_PlausiCrit_WindowArea_LowerLimit,f_PlausiCrit_WindowArea_UpperLimit,Code_ThermalBridging_Original,Code_ThermalBridging_Refurbished,Code_Infiltration_Actual,Code_Roof_1,Code_Roof_2,Code_Wall_1,Code_Wall_2,Code_Wall_3,Code_Floor_1,Code_Floor_2,Code_Window_1,Code_Window_2,Code_Door_1,Code_ConstructionBorder_Roof_1,Code_ConstructionBorder_Roof_2,Code_ConstructionBorder_Wall_1,Code_ConstructionBorder_Wall_2,Code_ConstructionBorder_Wall_3,Code_ConstructionBorder_Floor_1,Code_ConstructionBorder_Floor_2,delta_U_ThermalBridging_Original,delta_U_ThermalBridging_Refurbished,n_air_infiltration,U_Roof_1,U_Roof_2,U_Wall_1,U_Wall_2,U_Wall_3,U_Floor_1,U_Floor_2,U_Window_1,U_Window_2,U_Door_1,g_gl_n_Window_1,g_gl_n_Window_2,d_Insulation_Roof_1,d_Insulation_Roof_2,d_Insulation_Wall_1,d_Insulation_Wall_2,d_Insulation_Wall_3,d_Insulation_Floor_1,d_Insulation_Floor_2,R_Add_UnheatedSpace_Roof_1,R_Add_UnheatedSpace_Roof_2,R_Add_UnheatedSpace_Wall_1,R_Add_UnheatedSpace_Wall_2,R_Add_UnheatedSpace_Wall_3,R_Add_UnheatedSpace_Floor_1,R_Add_UnheatedSpace_Floor_2,b_Transmission_Roof_1,b_Transmission_Roof_2,b_Transmission_Wall_1,b_Transmission_Wall_2,b_Transmission_Wall_3,b_Transmission_Floor_1,b_Transmission_Floor_2,Code_Measure_Roof_1,Code_Measure_Roof_2,Code_Measure_Wall_1,Code_Measure_Wall_2,Code_Measure_Wall_3,Code_Measure_Floor_1,Code_Measure_Floor_2,Code_Measure_Window_1,Code_Measure_Window_2,Code_Measure_Door_1,R_PredefinedMeasure_Roof_1,R_PredefinedMeasure_Roof_2,R_PredefinedMeasure_Wall_1,R_PredefinedMeasure_Wall_2,R_PredefinedMeasure_Wall_3,R_PredefinedMeasure_Floor_1,R_PredefinedMeasure_Floor_2,R_PredefinedMeasure_Window_1,R_PredefinedMeasure_Window_2,R_PredefinedMeasure_Door_1,g_gl_n_PredefinedMeasure_Window_1,g_gl_n_PredefinedMeasure_Window_2,d_Insulation_PredefinedMeasure_Roof_1,d_Insulation_PredefinedMeasure_Roof_2,d_Insulation_PredefinedMeasure_Wall_1,d_Insulation_PredefinedMeasure_Wall_2,d_Insulation_PredefinedMeasure_Wall_3,d_Insulation_PredefinedMeasure_Floor_1,d_Insulation_PredefinedMeasure_Floor_2,d_Insulation_Input_Measure_Roof_1,d_Insulation_Input_Measure_Roof_2,d_Insulation_Input_Measure_Wall_1,d_Insulation_Input_Measure_Wall_2,d_Insulation_Input_Measure_Wall_3,d_Insulation_Input_Measure_Floor_1,d_Insulation_Input_Measure_Floor_2,Code_MeasureType_Roof_1_val_data,Code_MeasureType_Roof_1,Code_MeasureType_Roof_2_val_data,Code_MeasureType_Roof_2,Code_MeasureType_Wall_1_val_data,Code_MeasureType_Wall_1,Code_MeasureType_Wall_2_val_data,Code_MeasureType_Wall_2,Code_MeasureType_Wall_3_val_data,Code_MeasureType_Wall_3,Code_MeasureType_Floor_1_val_data,Code_MeasureType_Floor_1,Code_MeasureType_Floor_2_val_data,Code_MeasureType_Floor_2,Code_MeasureType_Window_1_val_data,Code_MeasureType_Window_1,Code_MeasureType_Window_2_val_data,Code_MeasureType_Window_2,Code_MeasureType_Door_1_val_data,Code_MeasureType_Door_1,f_Measure_Roof_1,f_Measure_Roof_2,f_Measure_Wall_1,f_Measure_Wall_2,f_Measure_Wall_3,f_Measure_Floor_1,f_Measure_Floor_2,f_Measure_Window_1,f_Measure_Window_2,f_Measure_Door_1,Code_ClimateRegion,Name_ClimateRegion,HeatingDays,Theta_e_Base,Theta_e,I_Sol_Hor,I_Sol_East,I_Sol_South,I_Sol_West,I_Sol_North,Code_BoundaryCond,theta_i,F_red_htr1,F_red_htr4,n_air_use,h_room,phi_int,q_w_nd,F_sh_hor,F_sh_vert,F_f,F_w,c_m
27,CY.N.TH.01.Gen.ReEx.001.003,0,0,2013-10-11,,Typology,CY,3,Refurbishment,CY.N.TH.01.Gen.ReEx.001,Refurbishment Package B,Ανακαίνιση Β,CY.N.TH.01.Gen,ReEx,TH,CY.01,0,1980,SingleFamily,416,100,126,100,92,100,0,6,2,,TR,,-,,-,,B_N2,0,0,0,0,0,0,,Standard,,Standard,0,63,0,128.7,0,0,63,0,35.1,0,2.2,0,0,16.4,0,7.3,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,Low,Low,CY.Roof.ReEx.01.04,0,CY.Wall.ReEx.01.01,0,0,CY.Floor.ReEx.01.02,0,CY.Window.ReEx.01.02,0,CY.Door.ReEx.02.02,,,,,,,,0.15,0.05,0.1,3.42,0,1.389,0,0,1.97,0,6.1,0,5.85,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.5,0,CY.Roof.Insulation60mm.06,0,CY.Wall.Insulation30mm.02,CY.Wall.Insulation30mm.02,0,CY.Floor.Insulation30mm.01,0,CY.Window.DoubleGlasing.03,0,CY.Door.Door.01,1.4634147,0,0.4878049,0.4878049,0,0.73170733,0,0.35714287,0,0.3846154,0.5,0,0.06,0,0.02,0.02,0,0.03,0,0.06,0,0.04,0.04,0,0.03,0,,ReplaceInsulation,,0,,ReplaceInsulation,,ReplaceInsulation,,0,,ReplaceInsulation,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,CY.N,National,67,12,10.7,195,125,232,124,52,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
28,CY.N.TH.02.Gen.ReEx.001.001,0,0,2013-10-11,,Typology,CY,1,Refurbishment,CY.N.TH.02.Gen.ReEx.001,Existing stage,Υπάρχουσα κατάσταση,CY.N.TH.02.Gen,ReEx,TH,CY.02,1981,2006,SingleFamily,504,124,144,124,116.7,124,0,7,2,,TR,,-,,-,,B_N2,0,0,0,0,0,0,,Standard,,Standard,0,75,0,164.7,0,0,72,0,22.5,0,2.2,0,14.3,0,8.3,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,High,High,CY.Roof.ReEx.01.04,0,CY.Wall.ReEx.01.01,0,0,CY.Floor.ReEx.01.02,0,CY.Window.ReEx.01.02,0,CY.Door.ReEx.02.02,,,,,,,,0.15,0.15,0.4,3.42,0,1.389,0,0,1.97,0,6.1,0,5.85,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,CY.N,National,67,12,10.7,195,125,232,124,52,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
29,CY.N.TH.02.Gen.ReEx.001.002,0,0,2013-10-11,,Typology,CY,2,Refurbishment,CY.N.TH.02.Gen.ReEx.001,Refurbishment Package A,Ανακαίνιση Α,CY.N.TH.02.Gen,ReEx,TH,CY.02,1981,2006,SingleFamily,504,124,144,124,116.7,124,0,7,2,,TR,,-,,-,,B_N2,0,0,0,0,0,0,,Standard,,Standard,0,75,0,164.7,0,0,72,0,22.5,0,2.2,0,14.3,0,8.3,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,Medium,Medium,CY.Roof.ReEx.01.04,0,CY.Wall.ReEx.01.01,0,0,CY.Floor.ReEx.01.02,0,CY.Window.ReEx.01.02,0,CY.Door.ReEx.02.02,,,,,,,,0.15,0.1,0.2,3.42,0,1.389,0,0,1.97,0,6.1,0,5.85,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.5,0,CY.Roof.Insulation40mm.04,0,CY.Wall.Insulation20mm.01,CY.Wall.Insulation20mm.01,0,CY.Floor.Insulation20mm.06,0,CY.Window.DoubleGlazing.01,0,CY.Door.Door.01,0.9756098,0,0.73170733,0.73170733,0,0.4878049,0,0.3125,0,0.3846154,0.51,0,0.04,0,0.03,0.03,0,0.02,0,0.04,0,0.02,0.02,0,0.02,0,,Add,,0,,Add,,Add,,0,,Add,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,CY.N,National,67,12,10.7,195,125,232,124,52,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
30,CY.N.TH.02.Gen.ReEx.001.003,0,0,2013-10-11,,Typology,CY,3,Refurbishment,CY.N.TH.02.Gen.ReEx.001,Refurbishment Package B,Ανακαίνιση Β,CY.N.TH.02.Gen,ReEx,TH,CY.02,1981,2006,SingleFamily,504,124,144,124,116.7,124,0,7,2,,TR,,-,,-,,B_N2,0,0,0,0,0,0,,Standard,,Standard,0,75,0,164.7,0,0,72,0,22.5,0,2.2,0,14.3,0,8.3,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,Low,Low,CY.Roof.ReEx.01.04,0,CY.Wall.ReEx.01.01,0,0,CY.Floor.ReEx.01.02,0,CY.Window.ReEx.01.02,0,CY.Door.ReEx.02.02,,,,,,,,0.15,0.05,0.1,3.42,0,1.389,0,0,1.97,0,6.1,0,5.85,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.5,0,CY.Roof.Insulation60mm.06,0,CY.Wall.Insulation30mm.02,CY.Wall.Insulation30mm.02,0,CY.Floor.Insulation30mm.01,0,CY.Window.DoubleGlasing.03,0,CY.Door.Door.01,1.4634147,0,0.4878049,0.4878049,0,0.73170733,0,0.35714287,0,0.3846154,0.5,0,0.06,0,0.02,0.02,0,0.03,0,0.06,0,0.04,0.04,0,0.03,0,,ReplaceInsulation,,0,,ReplaceInsulation,,ReplaceInsulation,,0,,ReplaceInsulation,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,CY.N,National,67,12,10.7,195,125,232,124,52,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
31,CY.N.TH.03.Gen.ReEx.001.001,0,0,2013-10-12,,Typology,CY,1,Variation,CY.N.TH.03.Gen.ReEx.001,Existing stage,Υπάρχουσα κατάσταση,CY.N.TH.03.Gen,ReEx,TH,CY.03,2007,2013,SingleFamily,1136,125,142,125,117.5,125,0,4,2,,FR,,-,,-,,B_N1,0,0,0,0,0,0,,Standard,,Standard,0,71,0,142.9,0,0,71,0,41.7,0,2.2,0,0,35.5,1.3,4.8,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Low,Low,Low,CY.Roof.ReEx.03.05,0,CY.Wall.ReEx.03.05,0,0,CY.Floor.ReEx.01.05,0,CY.Window.ReEx.03.06,0,CY.Door.ReEx.01.01,,,,,,,,0.05,0.05,0.1,0.77,0,0.82,0,0,0.91,0,3.2,0,2.6,0.51,0,0.04,0,0.02,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,CY.N,National,67,12,10.7,195,125,232,124,52,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
32,CY.N.TH.03.Gen.ReEx.001.002,0,0,2013-10-12,,Typology,CY,2,Variation,CY.N.TH.03.Gen.ReEx.001,Variation A,Παραλλαγή Α,CY.N.TH.03.Gen,ReEx,TH,CY.03,2007,2013,SingleFamily,1136,125,142,125,117.5,125,0,4,2,,FR,,-,,-,,B_N1,0,0,0,0,0,0,,Standard,,Standard,0,71,0,142.9,0,0,71,0,41.7,0,2.2,0,0,35.5,1.3,4.8,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Low,Minimal,Minimal,CY.Roof.ReEx.03.05,0,CY.Wall.ReEx.03.05,0,0,CY.Floor.ReEx.01.05,0,CY.Window.ReEx.03.06,0,CY.Door.ReEx.01.01,,,,,,,,0.05,0,0.05,0.77,0,0.82,0,0,0.91,0,3.2,0,2.6,0.51,0,0.04,0,0.02,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.5,0,CY.Roof.Insulation30mm.03,0,CY.Wall.Insulation20mm.01,CY.Wall.Insulation20mm.01,0,0,0,CY.Window.DoubleGlazing.01,0,CY.Door.Door.01,0.73170733,0,0.73170733,0.73170733,0,0,0,0.3125,0,0.3846154,0.51,0,0.03,0,0.03,0.03,0,0,0,0.02,0,0.02,0.02,0,0,0,,Add,,0,,Add,,Add,,0,,0,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,CY.N,National,67,12,10.7,195,125,232,124,52,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
33,CY.N.TH.03.Gen.ReEx.001.003,0,0,2013-10-12,2014-03-15,Typology,CY,3,Variation,CY.N.TH.03.Gen.ReEx.001,Variation Β,Παραλλαγή Β,CY.N.TH.03.Gen,ReEx,TH,CY.03,2007,2013,SingleFamily,1136,125,142,125,117.5,125,0,4,2,,FR,,-,,-,,B_N1,0,0,0,0,0,0,,Standard,,Standard,0,71,0,142.9,0,0,71,0,41.7,0,2.2,0,0,35.5,1.3,4.8,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Low,Minimal,Minimal,CY.Roof.ReEx.03.05,0,CY.Wall.ReEx.03.05,0,0,CY.Floor.ReEx.01.05,0,CY.Window.ReEx.03.06,0,CY.Door.ReEx.01.01,,,,,,,,0.05,0,0.05,0.77,0,0.82,0,0,0.91,0,3.2,0,2.6,0.51,0,0.04,0,0.02,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.5,0,CY.Roof.Insulation40mm.04,0,CY.Wall.insulation40mm.08,CY.Wall.insulation40mm.08,0,CY.Floor.Insulation50mm.02,0,CY.Window.DoubleGlasing.03,0,CY.Door.Door.01,0.9756098,0,1.3333334,1.3333334,0,1.2195122,0,0.35714287,0,0.3846154,0.5,0,0.04,0,0.04,0.04,0,0.05,0,0.05,0,0.04,0.04,0,0.06,0,,Add,,0,,Add,,Add,,0,,Add,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,CY.N,National,67,12,10.7,195,125,232,124,52,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
34,CY.N.TH.04.Gen.ReEx.001.001,0,0,2014-06-24,,Typology,CY,1,Variation,CY.N.TH.04.Gen.ReEx.001,Existing State,Υπάρχουσα κατάσταση,CY.N.TH.04.Gen,ReEx,TH,CY.04,2014,9999,SingleFamily,1136,125,142,125,117.5,125,0,4,2,,FR,,-,,-,,B_N1,0,0,0,0,0,0,,Standard,,Standard,0,71,0,142.9,0,0,71,0,41.7,0,2.2,0,0,35.5,1.3,4.8,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Low,Low,CY.Roof.ReAv.01.01,0,CY.Wall.ReAv.04.09,0,0,CY.Floor.ReAv.02.02,0,CY.Window.ReEx.03.06,0,CY.Door.ReAv.04.01,,,,,,,,0.1,0.05,0.1,0.6,0,0.65,0,0,0.91,0,3.2,0,2.8,0.51,0,0.04,0,0.03,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,CY.N,National,67,12,10.7,195,125,232,124,52,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
35,CY.N.TH.04.Gen.ReEx.001.002,0,0,2014-06-24,,Typology,CY,2,Variation,CY.N.TH.04.Gen.ReEx.001,Variation A,Παραλλαγή Α,CY.N.TH.04.Gen,ReEx,TH,CY.04,2014,9999,SingleFamily,1136,125,142,125,117.5,125,0,4,2,,FR,,-,,-,,B_N1,0,0,0,0,0,0,,Standard,,Standard,0,71,0,142.9,0,0,71,0,41.7,0,2.2,0,0,35.5,1.3,4.8,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Minimal,Minimal,CY.Roof.ReAv.01.01,0,CY.Wall.ReAv.04.09,0,0,CY.Floor.ReAv.02.02,0,CY.Window.ReEx.03.06,0,CY.Door.ReAv.04.01,,,,,,,,0.1,0,0.05,0.6,0,0.65,0,0,0.91,0,3.2,0,2.8,0.51,0,0.04,0,0.03,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.5,0,CY.Roof.Insulation50mm.05,0,CY.Wall.Insulation50mm.03,CY.Wall.Insulation50mm.03,0,0,0,CY.Window.DoubleGlasing.03,0,CY.Door.Door.01,1.2195122,0,1.2195122,1.2195122,0,0,0,0.35714287,0,0.3846154,0.5,0,0.05,0,0.05,0.05,0,0,0,0.01,0,0.01,0.01,0,0,0,,Add,,0,,Add,,Add,,0,,Add,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,CY.N,National,67,12,10.7,195,125,232,124,52,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
36,CY.N.TH.04.Gen.ReEx.001.003,0,0,2014-06-24,,Typology,CY,3,Variation,CY.N.TH.04.Gen.ReEx.001,Variation Β,Παραλλαγή Β,CY.N.TH.04.Gen,ReEx,TH,CY.04,2014,9999,SingleFamily,1136,125,142,125,117.5,125,0,4,2,,FR,,-,,-,,B_N1,0,0,0,0,0,0,,Standard,,Standard,0,71,0,142.9,0,0,71,0,41.7,0,2.2,0,0,35.5,1.3,4.8,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Minimal,Minimal,CY.Roof.ReAv.01.01,0,CY.Wall.ReAv.04.09,0,0,CY.Floor.ReAv.02.02,0,CY.Window.ReEx.03.06,0,CY.Door.ReAv.04.01,,,,,,,,0.1,0,0.05,0.6,0,0.65,0,0,0.91,0,3.2,0,2.8,0.51,0,0.04,0,0.03,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.5,0,CY.Roof.Insulation80mm.09,0,CY.Wall.Insulation70mm.06,CY.Wall.Insulation70mm.06,0,CY.Floor.Insulation50mm.02,0,CY.Window.DoubleGlasing.03,0,CY.Door.Door.01,1.9512196,0,2.3333333,2.3333333,0,1.2195122,0,0.35714287,0,0.3846154,0.5,0,0.08,0,0.07,0.07,0,0.05,0,0.03,0,0.02,0.02,0,0.06,0,,Add,,0,,Add,,Add,,0,,Add,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,CY.N,National,67,12,10.7,195,125,232,124,52,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
