id,Code_BuildingVariant,Remark_BuildingVariant_1,Remark_BuildingVariant_2,Date_Entry,Date_Change,Code_StatusDataset,Code_Country,Number_BuildingVariant,Code_TypeVariant,Code_Building,Description_BuildingVariant,Description_BuildingVariant_National,Code_BuildingType,Code_DataType_Building,Code_BuildingSizeClass,Code_ConstructionYearClass,Year1_Building,Year2_Building,Code_UtilisationType,V_C,A_C_National,A_C_ExtDim,A_C_IntDim,A_C_Use,A_C_Living,A_C_Ref_Input,n_Apartment,n_Storey,Code_RoofType_val_data,Code_RoofType,Code_AtticCond_val_data,Code_AtticCond,Code_CellarCond_val_data,Code_CellarCond,Code_AttachedNeighbours_val_data,Code_AttachedNeighbours,A_SolarPotential_1,Code_Orientation_SolarPotential_1,Inclination_SolarPotential_1,A_SolarPotential_2,Code_Orientation_SolarPotential_2,Inclination_SolarPotential_2,Code_ComplexFootprint_val_data,Code_ComplexFootprint,Code_ComplexRoof_val_data,Code_ComplexRoof,h_Ceiling,A_Roof_1,A_Roof_2,A_Wall_1,A_Wall_2,A_Wall_3,A_Floor_1,A_Floor_2,A_Window_1,A_Window_2,A_Door_1,A_Window_Horizontal,A_Window_East,A_Window_South,A_Window_West,A_Window_North,Code_TypeIntake_EnvelopeArea_val_data,Code_TypeIntake_EnvelopeArea,f_Corr_CeilingHeight,f_PlausiCrit_EnvSum_LowerLimit,f_PlausiCrit_EnvSum_UpperLimit,f_PlausiCrit_FloorArea_LowerLimit,f_PlausiCrit_FloorArea_UpperLimit,f_PlausiCrit_WindowArea_LowerLimit,f_PlausiCrit_WindowArea_UpperLimit,Code_ThermalBridging_Original,Code_ThermalBridging_Refurbished,Code_Infiltration_Actual,Code_Roof_1,Code_Roof_2,Code_Wall_1,Code_Wall_2,Code_Wall_3,Code_Floor_1,Code_Floor_2,Code_Window_1,Code_Window_2,Code_Door_1,Code_ConstructionBorder_Roof_1,Code_ConstructionBorder_Roof_2,Code_ConstructionBorder_Wall_1,Code_ConstructionBorder_Wall_2,Code_ConstructionBorder_Wall_3,Code_ConstructionBorder_Floor_1,Code_ConstructionBorder_Floor_2,delta_U_ThermalBridging_Original,delta_U_ThermalBridging_Refurbished,n_air_infiltration,U_Roof_1,U_Roof_2,U_Wall_1,U_Wall_2,U_Wall_3,U_Floor_1,U_Floor_2,U_Window_1,U_Window_2,U_Door_1,g_gl_n_Window_1,g_gl_n_Window_2,d_Insulation_Roof_1,d_Insulation_Roof_2,d_Insulation_Wall_1,d_Insulation_Wall_2,d_Insulation_Wall_3,d_Insulation_Floor_1,d_Insulation_Floor_2,R_Add_UnheatedSpace_Roof_1,R_Add_UnheatedSpace_Roof_2,R_Add_UnheatedSpace_Wall_1,R_Add_UnheatedSpace_Wall_2,R_Add_UnheatedSpace_Wall_3,R_Add_UnheatedSpace_Floor_1,R_Add_UnheatedSpace_Floor_2,b_Transmission_Roof_1,b_Transmission_Roof_2,b_Transmission_Wall_1,b_Transmission_Wall_2,b_Transmission_Wall_3,b_Transmission_Floor_1,b_Transmission_Floor_2,Code_Measure_Roof_1,Code_Measure_Roof_2,Code_Measure_Wall_1,Code_Measure_Wall_2,Code_Measure_Wall_3,Code_Measure_Floor_1,Code_Measure_Floor_2,Code_Measure_Window_1,Code_Measure_Window_2,Code_Measure_Door_1,R_PredefinedMeasure_Roof_1,R_PredefinedMeasure_Roof_2,R_PredefinedMeasure_Wall_1,R_PredefinedMeasure_Wall_2,R_PredefinedMeasure_Wall_3,R_PredefinedMeasure_Floor_1,R_PredefinedMeasure_Floor_2,R_PredefinedMeasure_Window_1,R_PredefinedMeasure_Window_2,R_PredefinedMeasure_Door_1,g_gl_n_PredefinedMeasure_Window_1,g_gl_n_PredefinedMeasure_Window_2,d_Insulation_PredefinedMeasure_Roof_1,d_Insulation_PredefinedMeasure_Roof_2,d_Insulation_PredefinedMeasure_Wall_1,d_Insulation_PredefinedMeasure_Wall_2,d_Insulation_PredefinedMeasure_Wall_3,d_Insulation_PredefinedMeasure_Floor_1,d_Insulation_PredefinedMeasure_Floor_2,d_Insulation_Input_Measure_Roof_1,d_Insulation_Input_Measure_Roof_2,d_Insulation_Input_Measure_Wall_1,d_Insulation_Input_Measure_Wall_2,d_Insulation_Input_Measure_Wall_3,d_Insulation_Input_Measure_Floor_1,d_Insulation_Input_Measure_Floor_2,Code_MeasureType_Roof_1_val_data,Code_MeasureType_Roof_1,Code_MeasureType_Roof_2_val_data,Code_MeasureType_Roof_2,Code_MeasureType_Wall_1_val_data,Code_MeasureType_Wall_1,Code_MeasureType_Wall_2_val_data,Code_MeasureType_Wall_2,Code_MeasureType_Wall_3_val_data,Code_MeasureType_Wall_3,Code_MeasureType_Floor_1_val_data,Code_MeasureType_Floor_1,Code_MeasureType_Floor_2_val_data,Code_MeasureType_Floor_2,Code_MeasureType_Window_1_val_data,Code_MeasureType_Window_1,Code_MeasureType_Window_2_val_data,Code_MeasureType_Window_2,Code_MeasureType_Door_1_val_data,Code_MeasureType_Door_1,f_Measure_Roof_1,f_Measure_Roof_2,f_Measure_Wall_1,f_Measure_Wall_2,f_Measure_Wall_3,f_Measure_Floor_1,f_Measure_Floor_2,f_Measure_Window_1,f_Measure_Window_2,f_Measure_Door_1,Code_ClimateRegion,Name_ClimateRegion,HeatingDays,Theta_e_Base,Theta_e,I_Sol_Hor,I_Sol_East,I_Sol_South,I_Sol_West,I_Sol_North,Code_BoundaryCond,theta_i,F_red_htr1,F_red_htr4,n_air_use,h_room,phi_int,q_w_nd,F_sh_hor,F_sh_vert,F_f,F_w,c_m
1,BG.N.AB.03.Gen.ReEx.001.001,0,0,2012-05-30,,Typology,BG,1,Refurbishment,BG.N.AB.03.Gen.ReEx.001,Existing condition,Съществуващо състояние,BG.N.AB.03.Gen,ReEx,AB,BG.03,1930,1959,Apartment,4867.5,1475,1475,0,1102,1070,0,16,4,,UC,,N,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,0,369,1329,0,0,369,0,231,0,7.7,0,73,73,35,50,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,0,Medium,BG.Roof.ReEx.02.01,BG.Ceiling.ReEx.03.01,BG.Wall.ReEx.02.03,0,0,BG.Ceiling.ReEx.03.01,BG.Floor.ReEx.03.02,BG.Window.ReEx.02.01,0,BG.Door.ReEx.02.01,,,,,,,,0.1,0,0.2,1.93,2.1,1.39,0,0,2.1,0.54,2.32,0,2.6,0.75,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.3,0,1,1,1,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,BG.Zone7,Sofia and Podbalkan valley,191,12,4.5,382,258,372,258,167,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
2,BG.N.AB.03.Gen.ReEx.001.002,0,0,2012-05-30,,Typology,BG,2,Refurbishment,BG.N.AB.03.Gen.ReEx.001,Energy renovation Norm #7/2009,Обновяване по наредба №7/2009,BG.N.AB.03.Gen,ReEx,AB,BG.03,1930,1959,Apartment,4867.5,1475,1475,0,1102,1070,0,16,4,,UC,,N,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,0,369,1329,0,0,369,0,231,0,7.7,0,73,73,35,50,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Low,Low,BG.Roof.ReEx.02.01,BG.Ceiling.ReEx.03.01,BG.Wall.ReEx.02.03,0,0,BG.Ceiling.ReEx.03.01,BG.Floor.ReEx.03.02,BG.Window.ReEx.02.01,0,BG.Door.ReEx.02.01,,,,,,,,0.1,0.05,0.1,1.93,2.1,1.39,0,0,2.1,0.54,2.32,0,2.6,0.75,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.3,0,1,1,1,0,0,0.5,0.5,BG.Roof.Ins_above_10cm.01,BG.Ceiling.Ins_above_7cm.01,BG.Wall.Ins_outside_8cm.01,0,0,BG.Ceiling.Ins_above_7cm.01,BG.Floor.Ins_above_5cm.01,BG.Window.PVC_Dual_1 Low-e.01,0,BG.Door.AL_Glazed.01,3.0839598,1.8421053,2.117763,0,0,1.8421053,1.3157895,0.71428573,0,0.71428573,0.67,0,0.1,0.07,0.08,0,0,0.07,0.05,0,0,0,0,0,0,0,,Add,,Add,,Add,,0,,0,,Add,,Add,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,BG.Zone7,Sofia and Podbalkan valley,191,12,4.5,382,258,372,258,167,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
3,BG.N.AB.03.Gen.ReEx.001.003,0,0,2012-05-30,,Typology,BG,3,Refurbishment,BG.N.AB.03.Gen.ReEx.001,Advanced refurbishment,Допълнително обновяване,BG.N.AB.03.Gen,ReEx,AB,BG.03,1930,1959,Apartment,4867.5,1475,1475,0,1102,1070,0,16,4,,UC,,N,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,0,369,1329,0,0,369,0,231,0,7.7,0,73,73,35,50,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Minimal,Minimal,BG.Roof.ReEx.02.01,BG.Ceiling.ReEx.03.01,BG.Wall.ReEx.02.03,0,0,BG.Ceiling.ReEx.03.01,BG.Floor.ReEx.03.02,BG.Window.ReEx.02.01,0,BG.Door.ReEx.02.01,,,,,,,,0.1,0,0.05,1.93,2.1,1.39,0,0,2.1,0.54,2.32,0,2.6,0.75,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.3,0,1,1,1,0,0,0.5,0.5,BG.Roof.Ins_above_10cm.01,BG.Ceiling.Ins_above_7cm.01,BG.Wall.Ins_outside_8cm.01,0,0,BG.Ceiling.Ins_above_and_susp.01,BG.Floor.Ins_above_5cm.01,BG.Window.PVC_Triple_2 Low-e_inert gas.01,0,BG.Door.AL_Part_Glazed.01,3.0839598,1.8421053,2.117763,0,0,2.9,1.3157895,1.25,0,0.8333333,0.5,0,0.1,0.07,0.08,0,0,0,0.05,0,0,0,0,0,0,0,,Add,,Add,,Add,,0,,0,,Add,,Add,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,BG.Zone7,Sofia and Podbalkan valley,191,12,4.5,382,258,372,258,167,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
4,BG.N.AB.04.Gen.ReEx.001.001,0,0,2012-05-30,,Typology,BG,1,Refurbishment,BG.N.AB.04.Gen.ReEx.001,Existing condition,Съществуващо състояние,BG.N.AB.04.Gen,ReEx,AB,BG.04,1960,1998,Apartment,11760,4200,4200,0,3015,2846,0,20,5,,FR,,-,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,840,0,1772,0,0,840,0,860,0,29.9,0,20,20,340,480,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,0,Medium,BG.Roof.ReEx.04.01,0,BG.Wall.ReEx.04.01,0,0,BG.Ceiling.ReEx.03.01,BG.Floor.ReEx.03.02,BG.Window.ReEx.05.04,0,BG.Door.ReEx.04.01,,,,,,,,0.15,0,0.2,0.59,0,0.93,0,0,2.1,0.54,2.6,0,5.85,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,BG.Zone7,Sofia and Podbalkan valley,191,12,4.5,382,258,372,258,167,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
5,BG.N.AB.04.Gen.ReEx.001.002,0,0,2012-05-30,,Typology,BG,2,Refurbishment,BG.N.AB.04.Gen.ReEx.001,Energy renovation Norm #7/2009,Обновяване по наредба №7/2009,BG.N.AB.04.Gen,ReEx,AB,BG.04,1960,1998,Apartment,11760,4200,4200,0,3015,2846,0,20,5,,FR,,-,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,840,0,1772,0,0,840,0,860,0,29.9,0,20,20,340,480,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,Low,Low,BG.Roof.ReEx.04.01,0,BG.Wall.ReEx.04.01,0,0,BG.Ceiling.ReEx.03.01,BG.Floor.ReEx.03.02,BG.Window.ReEx.05.04,0,BG.Door.ReEx.04.01,,,,,,,,0.15,0.05,0.1,0.59,0,0.93,0,0,2.1,0.54,2.6,0,5.85,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0.5,BG.Roof.Ins_above_8cm.01,0,BG.Wall.Ins_outside_8cm.02,0,0,BG.Ceiling.Ins_above_7cm.01,BG.Floor.Ins_above_5cm.01,BG.Window.PVC_Dual_1 Low-e.01,0,BG.Door.AL_Glazed.01,2.1590266,0,2.117763,0,0,1.8421053,1.3157895,0.71428573,0,0.71428573,0.67,0,0.08,0,0.08,0,0,0.07,0.05,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,Add,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,BG.Zone7,Sofia and Podbalkan valley,191,12,4.5,382,258,372,258,167,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
6,BG.N.AB.04.Gen.ReEx.001.003,0,0,2012-05-30,,Typology,BG,3,Refurbishment,BG.N.AB.04.Gen.ReEx.001,Advanced refurbishment,Допълнително обновяване,BG.N.AB.04.Gen,ReEx,AB,BG.04,1960,1998,Apartment,11760,4200,4200,0,3015,2846,0,20,5,,FR,,-,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,840,0,1772,0,0,840,0,860,0,29.9,0,20,20,340,480,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,Minimal,Minimal,BG.Roof.ReEx.04.01,0,BG.Wall.ReEx.04.01,0,0,BG.Ceiling.ReEx.03.01,BG.Floor.ReEx.03.02,BG.Window.ReEx.05.04,0,BG.Door.ReEx.04.01,,,,,,,,0.15,0,0.05,0.59,0,0.93,0,0,2.1,0.54,2.6,0,5.85,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0.5,BG.Roof.Ins_above_8cm.01,0,BG.Wall.Ins_outside_8cm.02,0,0,BG.Ceiling.Ins_above_and_susp.01,BG.Floor.Ins_above_5cm.01,BG.Window.PVC_Triple_2 Low-e_inert gas.01,0,BG.Door.AL_Part_Glazed.01,2.1590266,0,2.117763,0,0,2.9,1.3157895,1.25,0,0.8333333,0.5,0,0.08,0,0.08,0,0,0,0.05,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,Add,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,BG.Zone7,Sofia and Podbalkan valley,191,12,4.5,382,258,372,258,167,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
7,BG.N.AB.04.HRis.ReEx.001.001,0,0,2012-05-30,,Typology,BG,1,Refurbishment,BG.N.AB.04.HRis.ReEx.001,Existing condition,Съществуващо състояние,BG.N.AB.04.HRis,ReEx,AB,BG.04,1960,1998,Apartment,16385.6,5852,5852,0,4016,3914,0,70,14,,FR,,-,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,418,0,2480,0,0,418,0,730,0,7.8,0,350,350,10,20,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,0,Medium,BG.Roof.ReEx.04.01,0,BG.Wall.ReEx.04.01,0,0,BG.Ceiling.ReEx.03.01,BG.Floor.ReEx.03.02,BG.Window.ReEx.05.04,0,BG.Door.ReEx.04.01,,,,,,,,0.1,0,0.2,0.59,0,0.93,0,0,2.1,0.54,2.6,0,5.85,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,BG.Zone7,Sofia and Podbalkan valley,191,12,4.5,382,258,372,258,167,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
8,BG.N.AB.04.HRis.ReEx.001.002,0,0,2012-05-30,,Typology,BG,2,Refurbishment,BG.N.AB.04.HRis.ReEx.001,Energy renovation Norm #7/2009,Обновяване по наредба №7/2009,BG.N.AB.04.HRis,ReEx,AB,BG.04,1960,1998,Apartment,16385.6,5852,5852,0,4016,3914,0,70,14,,FR,,-,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,418,0,2480,0,0,418,0,730,0,7.8,0,350,350,10,20,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Low,Low,BG.Roof.ReEx.04.01,0,BG.Wall.ReEx.04.01,0,0,BG.Ceiling.ReEx.03.01,BG.Floor.ReEx.03.02,BG.Window.ReEx.05.04,0,BG.Door.ReEx.04.01,,,,,,,,0.1,0.05,0.1,0.59,0,0.93,0,0,2.1,0.54,2.6,0,5.85,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0.5,BG.Roof.Ins_above_8cm.01,0,BG.Wall.Ins_outside_10cm.06,0,0,BG.Ceiling.Ins_above_7cm.01,BG.Floor.Ins_above_5cm.01,BG.Window.PVC_Dual_1 Low-e.01,0,BG.Door.AL_Glazed.01,2.1590266,0,2.644079,0,0,1.8421053,1.3157895,0.71428573,0,0.71428573,0.67,0,0.08,0,0.1,0,0,0.07,0.05,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,Add,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,BG.Zone7,Sofia and Podbalkan valley,191,12,4.5,382,258,372,258,167,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
9,BG.N.AB.04.HRis.ReEx.001.003,0,0,2012-05-30,,Typology,BG,3,Refurbishment,BG.N.AB.04.HRis.ReEx.001,Advanced refurbishment,Допълнително обновяване,BG.N.AB.04.HRis,ReEx,AB,BG.04,1960,1998,Apartment,16385.6,5852,5852,0,4016,3914,0,70,14,,FR,,-,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,418,0,2480,0,0,418,0,730,0,7.8,0,350,350,10,20,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Minimal,Minimal,BG.Roof.ReEx.04.01,0,BG.Wall.ReEx.04.01,0,0,BG.Ceiling.ReEx.03.01,BG.Floor.ReEx.03.02,BG.Window.ReEx.05.04,0,BG.Door.ReEx.04.01,,,,,,,,0.1,0,0.05,0.59,0,0.93,0,0,2.1,0.54,2.6,0,5.85,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0.5,BG.Roof.Ins_above_8cm.01,0,BG.Wall.Ins_outside_10cm.06,0,0,BG.Ceiling.Ins_above_and_susp.01,BG.Floor.Ins_above_5cm.01,BG.Window.PVC_Triple_2 Low-e_inert gas.01,0,BG.Door.AL_Part_Glazed.01,2.1590266,0,2.644079,0,0,2.9,1.3157895,1.25,0,0.8333333,0.5,0,0.08,0,0.1,0,0,0,0.05,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,Add,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,BG.Zone7,Sofia and Podbalkan valley,191,12,4.5,382,258,372,258,167,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
10,BG.N.AB.04.PrefEl.ReEx.001.001,0,0,2012-05-30,,Typology,BG,1,Refurbishment,BG.N.AB.04.PrefEl.ReEx.001,Existing condition,Съществуващо състояние,BG.N.AB.04.PrefEl,ReEx,AB,BG.04,1960,1998,Apartment,18816,6720,6720,0,4630,4360,0,32,8,,FR,,-,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,840,0,2853,0,0,840,0,1376,0,29.9,0,32,32,544,768,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,0,Medium,BG.Roof.ReEx.04.02,0,BG.Wall.ReEx.04.01,0,0,BG.Ceiling.ReEx.03.01,BG.Floor.ReEx.03.02,BG.Window.ReEx.05.04,0,BG.Door.ReEx.04.01,,,,,,,,0.1,0,0.2,1.98,0,0.93,0,0,2.1,0.54,2.6,0,5.85,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,BG.Zone7,Sofia and Podbalkan valley,191,12,4.5,382,258,372,258,167,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
11,BG.N.AB.04.PrefEl.ReEx.001.002,0,0,2012-05-30,,Typology,BG,2,Refurbishment,BG.N.AB.04.PrefEl.ReEx.001,Energy renovation Norm #7/2009,Обновяване по наредба №7/2009,BG.N.AB.04.PrefEl,ReEx,AB,BG.04,1960,1998,Apartment,18816,6720,6720,0,4630,4360,0,32,8,,FR,,-,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,840,0,2853,0,0,840,0,1376,0,29.9,0,32,32,544,768,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Low,Low,BG.Roof.ReEx.04.02,0,BG.Wall.ReEx.04.01,0,0,BG.Ceiling.ReEx.03.01,BG.Floor.ReEx.03.02,BG.Window.ReEx.05.04,0,BG.Door.ReEx.04.01,,,,,,,,0.1,0.05,0.1,1.98,0,0.93,0,0,2.1,0.54,2.6,0,5.85,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0.5,BG.Roof.Ins_above_12 cm.02,0,BG.Wall.Ins_outside_10cm.04,0,0,BG.Ceiling.Ins_above_7cm.01,BG.Floor.Ins_above_5cm.01,BG.Window.PVC_Dual_1 Low-e.01,0,BG.Door.AL_Glazed.01,3.2116582,0,2.644079,0,0,1.8421053,1.3157895,0.71428573,0,0.71428573,0.67,0,0.12,0,0.1,0,0,0.07,0.05,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,Add,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,BG.Zone7,Sofia and Podbalkan valley,191,12,4.5,382,258,372,258,167,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
12,BG.N.AB.04.PrefEl.ReEx.001.003,0,0,2012-05-30,,Typology,BG,3,Refurbishment,BG.N.AB.04.PrefEl.ReEx.001,Advanced refurbishment,Допълнително обновяване,BG.N.AB.04.PrefEl,ReEx,AB,BG.04,1960,1998,Apartment,18816,6720,6720,0,4630,4360,0,32,8,,FR,,-,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,840,0,2853,0,0,840,0,1376,0,29.9,0,32,32,544,768,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Minimal,Minimal,BG.Roof.ReEx.04.02,0,BG.Wall.ReEx.04.01,0,0,BG.Ceiling.ReEx.03.01,BG.Floor.ReEx.03.02,BG.Window.ReEx.05.04,0,BG.Door.ReEx.04.01,,,,,,,,0.1,0,0.05,1.98,0,0.93,0,0,2.1,0.54,2.6,0,5.85,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0.5,BG.Roof.Ins_above_12 cm.02,0,BG.Wall.Ins_outside_10cm.04,0,0,BG.Ceiling.Ins_above_and_susp.01,BG.Floor.Ins_above_5cm.01,BG.Window.PVC_Triple_2 Low-e_inert gas.01,0,BG.Door.AL_Part_Glazed.01,3.2116582,0,2.644079,0,0,2.9,1.3157895,1.25,0,0.8333333,0.5,0,0.12,0,0.1,0,0,0,0.05,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,Add,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,BG.Zone7,Sofia and Podbalkan valley,191,12,4.5,382,258,372,258,167,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
13,BG.N.AB.05.Gen.ReEx.001.001,0,0,2012-05-30,,Typology,BG,1,Variation,BG.N.AB.05.Gen.ReEx.001,Existing condition,Съществуващо състояние,BG.N.AB.05.Gen,ReEx,AB,BG.05,1999,2008,Apartment,4866.4,1738,1738,0,0,0,0,35,7,,TR,,-,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,478,0,1103,0,0,260,0,356,0,7.8,0,80,90,56,130,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,0,Medium,BG.Roof.ReEx.05.01,0,BG.Wall.ReEx.05.02,0,0,BG.Ceiling.ReEx.06.02,BG.Floor.ReEx.03.02,BG.Window.ReEx.05.04,0,BG.Door.ReEx.05.04,,,,,,,,0.1,0,0.2,0.27,0,0.44,0,0,0.49,0.54,2.6,0,2.6,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,BG.Zone7,Sofia and Podbalkan valley,191,12,4.5,382,258,372,258,167,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
14,BG.N.AB.05.Gen.ReEx.001.002,0,0,2012-05-30,,Typology,BG,2,Variation,BG.N.AB.05.Gen.ReEx.001,Energy renovation Norm #7/2009,Обновяване по наредба №7/2009,BG.N.AB.05.Gen,ReEx,AB,BG.05,1999,2008,Apartment,4866.4,1738,1738,0,0,0,0,35,7,,TR,,-,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,478,0,1103,0,0,260,0,356,0,7.8,0,80,90,56,130,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Low,Low,BG.Roof.ReEx.05.01,0,BG.Wall.ReEx.05.02,0,0,BG.Ceiling.ReEx.06.02,BG.Floor.ReEx.03.02,BG.Window.ReEx.05.04,0,BG.Door.ReEx.05.04,,,,,,,,0.1,0.05,0.1,0.27,0,0.44,0,0,0.49,0.54,2.6,0,2.6,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0.5,BG.Roof.Ins_underneath_susp_10cm.01,0,BG.Wall.Ins_outside_6cm.01,0,0,BG.Ceiling.Ins_underneath_susp.01,BG.Floor.Ins_above_5cm.01,BG.Window.PVC_Dual_1 Low-e.01,0,BG.Door.AL_Glazed.01,3.0839598,0,1.5914474,0,0,1.58,1.3157895,0.71428573,0,0.71428573,0.67,0,0.1,0,0.08,0,0,0.05,0.05,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,Add,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,BG.Zone7,Sofia and Podbalkan valley,191,12,4.5,382,258,372,258,167,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
